Fund Name,Jan 2026,Feb 2026,Aug 2020 (sample)
UnionBank USD Fixed Income Fund,,,
UnionBank High Net Worth Intermediate-Term Peso Fixed Income Fund,,,188034617.41
UnionBank High Net Worth Medium-Term Peso Fixed Income Fund,,,
UnionBank Infinity Prime Fund,,,
UnionBank PHP Equity Fund,,,618143103.5
UnionBank Long Term Fixed Income Portfolio,,,
UnionBank Medium Term Fixed Income Portfolio,,,
UnionBank PHP Balanced Fund,,,132466174.99
UnionBank PHP Short Term Fixed Income Fund,,,2915514319.43
UnionBank PHP Fixed Income Fund,,,1248799972.94
UnionBank PHP Tax Exempt Fixed Income Fund,,,1539921648.96
Unionbank PSE Index Tracker Fund,,,465507912.73
UnionBank USD Short Term Fixed Income Fund,,,
AXA Global Assets Income Paying Fund,,,
Chinabank Income-Paying Dollar Bond Feeder Fund,,,
Manulife Global Income Feeder Fund,,,
BPI Wealth Builder Fund,981777774.01,,
AXA Global Dynamic Allocation Fund - Multi-Asset Peso,,,
Manulife Peso Global Multi‑Asset Income Fund,,,
AXA Global Assets Income Paying Fund Peso,,,
Manulife Global Income Feeder Fund Peso,,,
